plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Dill- Compatto,Anethum graveolens,herb,Annual 45cm; Suitable to grow in pots; Culinary herb,40 days,20cm,2mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost hardy Annual,,"**Dill- Compatto** (*Anethum graveolens*) is a **compact annual variety** that reaches a manageable *45cm*, making it ***perfect for container growing***. This hardy herb features **dark green, aromatic foliage** that is wonderful for flavoring soups, lamb, fish, and eggs when used fresh. You can also dry the seeds, which are known for their **high essential oil content and strong flavor**, to use in teas, bread, soups, and preserves, offering both culinary and medicinal benefits.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_1.jpg; Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_2.jpg; Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_3.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August","Cabbage, Broccoli, Lettuce, Onions, Corn, Cucumbers, Asparagus","Carrots, Fennel, Tomatoes, Lavender","Beans, Peas, Squash, Peppers"
Dill- Mammoth,Anethum graveolens,herb,Annual 90cm; Culinary herb; Large variety,60 days (seed: 85 days),20cm,2mm,"Full sun, moist soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,,"**Dill- Mammoth** (*Anethum graveolens*) is a **larger and sparser** annual variety, reaching up to *90cm* tall. This aromatic herb boasts slender stems and delicate, feathery foliage reminiscent of fennel. Its leaves are perfect for adding a fresh, fragrant touch as a garnish, in salads, dips, and with fish and egg dishes. The **seeds are also valuable**, offering a warm spice for teas, breads, soups, and preserves, making this a **versatile culinary herb**.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_1.jpg; Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_2.jpg; Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_3.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August","Cabbage, Broccoli, Lettuce, Onions, Corn, Cucumbers, Asparagus","Carrots, Fennel, Tomatoes, Lavender","Beans, Peas, Squash, Peppers"
Dill- Tetra,Anethum graveolens,herb,Slow bolt variety; Good variety for fresh leaf production,60 days (seed: 100 days),30cm,2mm,"Full sun, moist soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Slow bolt variety,"**Dill- Tetra** (*Anethum graveolens*) is a **slow-bolting annual** that excels in fresh leaf production, growing to *80-100cm*. This variety is **ideal for containers**, offering an abundance of delicate, lacy, dark green foliage before it goes to seed. Its leaves are wonderful fresh for garnishes, salads, dips, and with fish and egg dishes, while the seeds can be used as a spice in teas, breads, soups, and preserves. Also known as Dill Dukat, it's a **fantastic choice for continuous harvesting**.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Tetra_Anethum graveolens/Dill- Tetra_Anethum graveolens_1.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August","Cabbage, Broccoli, Lettuce, Onions, Corn, Cucumbers, Asparagus","Carrots, Fennel, Tomatoes, Lavender","Beans, Peas, Squash, Peppers"
Echinacea- Pale Purple Coneflower,Echinacea pallida,herb,Perennial 80cm; Medicinal herb; Great for bees,90-110 days,50cm,1mm,"Part or full sun, moist well drained soil",Spring and autumn,10-20 days @ 20-25°C,Sow direct or raise seedlings,Hardy Perennial,,"**Echinacea- Pale Purple Coneflower** (*Echinacea pallida*) is a **hardy perennial** that grows to *80cm*, gracing the garden with **attractive, daisy-like flowers**. These blooms feature thin, fully reflexed pale purple petals arranged around a prominent cone. It's a **magnet for beneficial insects**, including bees, butterflies, and small birds, and produces flowers from early summer to late autumn. This **medicinal herb** is a beautiful addition to borders, beds, and wildflower meadows, and also makes a lovely cut flower.",Pink/Rose Flowers; Attracts beneficial insects; Borders; Beds; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Echinacea- Pale Purple Coneflower_Echinacea pallida/Echinacea- Pale Purple Coneflower_Echinacea pallida_1.jpg; Echinacea- Pale Purple Coneflower_Echinacea pallida/Echinacea- Pale Purple Coneflower_Echinacea pallida_2.jpg,"September, October, November, December","January, September, October, November, December","March, April, May, September, October, November","March, April, May, September, October, November","September, October, November, December","Squash, Cucumbers, Tomatoes, Peppers, Rudbeckia, Liatris, Beans","Hostas, Ferns","Corn, Rosemary, Sage, Thyme, Carrots"
Elecampane,Inula helenium,herb,"Large, bright yellow flowers; Attracts pollinators; Medicinal herb",120 days,90cm,2mm to 6mm,Full sun to partial shade,Spring and Autumn,28 days @ 15-20°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,,"**Elecampane** (*Inula helenium*) is a **striking upright perennial herb** that brings vibrant color and traditional charm to your garden. Its **large, coarse elliptic leaves** provide a lush backdrop for the **showy, bright yellow daisy-like flowers** that bloom from *mid-summer to early autumn*. Not only does this plant **attract a host of pollinators**, but it also boasts a **long history of medicinal use** and has even been used as an ingredient in absinthe. Thriving in a **range of conditions and soil types**, Elecampane is a **versatile choice for cottage and wildflower gardens**, offering both beauty and beneficial properties.",Yellow Flowers; Attracts beneficial insects; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Elecampane_Inula helenium/Elecampane_Inula helenium_1.jpg; Elecampane_Inula helenium/Elecampane_Inula helenium_2.jpg,"September, October, November",,,,,"Squash, Cucumber, Fruit Trees, Borage","Lettuce, Radish, Bush Beans, Small Herbs","Comfrey, Echinacea, Rudbeckia, Yarrow"
European Goldenrod,Solidago virgaurea,herb,Upright perennial herb; Medicinal uses; Attracting pollinators,120 days,20cm,2mm,"Full sun, moist well drained soil.","Autumn, Winter and Spring",14-35 days @ 10-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,,"**European Goldenrod** (*Solidago virgaurea*) is an **upright perennial herb** that adds a splash of sunshine to your garden from *mid-summer to early autumn*. Its **bright yellow flowers** are a magnet for **beneficial insects**, making it a valuable addition to any pollinator-friendly landscape. With a **rich history of medicinal use**, this herb offers more than just ornamental appeal. It's a **resilient plant that tolerates various soil types**, preferring *moist but well-drained conditions*. Unlike some of its relatives, **European Goldenrod is not considered invasive**, making it a **dependable choice for cottage gardens and wildflower meadows**.",Yellow Flowers; Attracts beneficial insects; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",European Goldenrod_Solidago virgaurea/European Goldenrod_Solidago virgaurea_1.jpg; European Goldenrod_Solidago virgaurea/European Goldenrod_Solidago virgaurea_2.jpg,"September, October, November",,,,,"Cabbage, Broccoli, Roses, Corn, Beans","Fennel, Dill, Newly Sown Seeds","Aster, Joe Pye Weed, Sunflowers, ornamental grasses"
Evening Primrose,Oenothera biennis,herb,Biennial 120cm; Medicinal herb; Fragrant yellow flowers,75-85 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,15-30 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Biennial,,"**Evening Primrose** (*Oenothera biennis*) is a **fascinating biennial** that grows to an impressive *120cm tall*, gracing your garden with **fragrant yellow flowers** that unfurl in the evening. This **ornamental beauty** is not only a delight for the senses but also possesses **numerous medicinal uses**. Its erect growth habit and **distinctive yellow blooms** make it a lovely addition to any garden setting, offering both visual appeal and therapeutic potential.",Yellow Flowers; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_1.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_2.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_3.jpg,"September, October, November",,,,,"Grapes, Squash, Melons, Tomatoes","Delicate Flowers, Manicured Flower Beds","Calendula, Borage, Poppies, Peppers"
Fenugreek,,herb,Annual 60cm; Medicinal and culinary herb; Spicy flavour,,40cm,10mm,"Full sun, moist well drained soil",Spring and autumn,3-5 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Spicy flavour,"**Fenugreek** (*Trigonella foenum-graecum*) is a versatile annual herb that reaches up to *60cm* in height, offering a delightful spicy flavor. Its **young leaves** are perfect for fresh salads, while **older leaves** add depth to cooked dishes as a pot herb. The **seeds** are a culinary powerhouse, lending their spicy notes to curries, roasts, pickles, chutneys, breads, and teas. Beyond the kitchen, Fenugreek boasts **numerous medicinal uses**. This adaptable plant can also be grown as a sprout or used as a beneficial green manure, making it a truly valuable addition to any garden.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Fenugreek_unknown/Fenugreek_unknown_1.jpg; Fenugreek_unknown/Fenugreek_unknown_2.jpg; Fenugreek_unknown/Fenugreek_unknown_3.jpg,"September, October, November",,,,,"Corn, Cabbage, Broccoli, Spinach, Lettuce","Onion, Garlic, Shallots, Leeks, Fennel","Potato, Carrot, Cucumber, Radish"
Feverfew- Snowball,Tanacetum parthenium,herb,Perennial 25cm; White pompom like flowers,130 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,10-14 days @ 20-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial (short lived),,"**Feverfew- Snowball** (*Tanacetum parthenium*) is a charming, short-lived perennial that grows to about *25cm* tall, adorned with **delightful white, pompom-like flowers**. These blooms feature soft, buttery yellow centers that mature into pure white as they fully open. ***These charming flowers*** are perfect for adding a touch of beauty to borders, pots, containers, hanging baskets, and mass plantings. They also make excellent cut flowers, often serving as a lovely substitute for Baby's Breath.",White/Cream Flowers; Container growing; Borders; Mass plantings; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Feverfew- Snowball_Tanacetum parthenium/Feverfew- Snowball_Tanacetum parthenium_1.jpg,"January, February, September, October, November, December","January, February, September, October, November, December","January, August, September, October, November, December","March, April, May","January, September, October, November, December","Roses, Raspberry, Grapes, Most Vegetables","Aster, Chrysanthemum","Lavender, Rosemary, Yarrow, Sage"
Feverfew- Tall Single White,Tanacetum parthenium,herb,Perennial 60cm; Single white daisy like flowers,100-110 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,10-14 days @ 20-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial (short lived),,"**Feverfew- Tall Single White** (*Tanacetum parthenium*) is a graceful, short-lived perennial that grows to a height of *60cm*, producing **delicate, single white daisy-like flowers**. Primarily cultivated for its ornamental appeal, this variety also offers **medicinal benefits**. Its simple yet elegant blooms bring a touch of natural beauty to the garden landscape.",White/Cream Flowers; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Feverfew- Tall Single White_Tanacetum parthenium/Feverfew- Tall Single White_Tanacetum parthenium_1.jpg,"January, February, September, October, November, December","January, February, September, October, November, December","January, August, September, October, November, December","March, April, May","January, September, October, November, December","Roses, Raspberry, Grapes, Most Vegetables","Aster, Chrysanthemum","Lavender, Rosemary, Yarrow, Sage"
Florence Fennel,,herb,Vegetable/herb; Sweet aniseed/celery flavour,80-90 days,45cm,8mm,"Full sun, moist well drained soil","Autumn, spring and early summer (in cool climates)",7-14 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet aniseed/celery flavour; Peppery flavour,"**Florence Fennel** (*Foeniculum vulgare 'Florence'*) is a versatile plant, typically grown as an annual, that offers a delightful sweet flavor reminiscent of a blend between celery and aniseed. This **perennial** beauty develops a distinctive swollen bulbous base topped with short stems and delicate, feathery foliage. The bulb itself is a culinary gem, perfect for enjoying raw in salads or cooked through frying, baking, or steaming. The aromatic leaves are fantastic for adding flavor and visual appeal to salads and as a garnish, while the highly fragrant seeds are a treasured spice for both sweet and savory dishes. Florence Fennel, also known as ""Finocchio,"" is not only a kitchen staple but also recognized for its **culinary and medicinal uses**.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Florence Fennel_unknown/Florence Fennel_unknown_1.jpg; Florence Fennel_unknown/Florence Fennel_unknown_2.jpg,"January, February, March, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May","April, May, June, July","March, April, May",None (Best grown alone),"Tomato, Bean, Kohlrabi, Pepper, Potato, Cilantro, Dill",None (Best grown alone)
Garden Cress- Extra Curled,Lepidium sativum,herb,Biennial 20cm; Culinary herb/vegetable; Peppery flavour,25 days,4cm,4mm,"Part or full sun, moist soil","Spring, summer, autumn and winter",10-14 days @ 7-15°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Peppery flavour,"**Garden Cress - Extra Curled** (*Lepidium sativum*) is a popular **culinary herb and vegetable** that grows annually to a height of *20cm*. Its attractively curled green leaves boast a delightful peppery flavor, offering a pleasant balance of sweetness and heat. This **slow-bolting variety** is a favorite among chefs for its ability to add a vibrant kick to salads and sandwiches, and it also serves beautifully as a garnish. Also known as Pepper Cress or Pepper Grass, this cress is valued for its **culinary and medicinal uses**.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garden Cress- Extra Curled_Lepidium sativum/Garden Cress- Extra Curled_Lepidium sativum_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","Carrot, Radish, Tomato, Chives","Cabbage, Kale, Broccoli, Cauliflower","Lettuce, Spinach, Mint, Parsley"
Garden Cress- Wrinkled Crinkled,Lepidium sativum,herb,Biennial 15cm; Culinary herb/vegetable; Peppery flavour,25 days,4cm,4mm,"Part or full sun, moist soil","Spring, summer, autumn and winter",10-14 days @ 7-15°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Peppery flavour,"**Garden Cress - Wrinkled Crinkled** (*Lepidium sativum*) is a **culinary herb and vegetable** that, while technically a biennial, is usually grown as an annual, reaching a height of *15cm*. Its unique crinkled green leaves deliver a delightful sweet and hot peppery flavor, making them an excellent addition to salads and sandwiches, or simply as a charming garnish. This **resistant-to-bolting variety** is highly regarded by chefs for its consistent performance and flavor. Also referred to as Pepper Cress or Pepper Grass, this cress is appreciated for its **culinary and medicinal uses**.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_1.jpg; Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_2.jpg; Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_3.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","Carrot, Radish, Tomato, Chives","Cabbage, Kale, Broccoli, Cauliflower","Lettuce, Spinach, Mint, Parsley"
Garland- Large Round Leaf,Glebionis coronaria,herb,Annual 80cm; Salad green/Culinary herb; Fast growing,30 days,40cm,6mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-10 days @ 15-22°C,Sow direct or raise seedlings,Hardy Annual,Fast growing; Peppery flavour,"**Garland- Large Round Leaf** (*Glebionis coronaria*) is a delightful annual herb that grows up to *80cm* tall, offering a fast-growing and abundant harvest. Its **large, rounded leaves** are a versatile addition to your kitchen, perfect for enjoying fresh in salads or cooking them like spinach. This adaptable plant thrives in **containers, garden beds, or even as cut flowers**, bringing beauty and flavor to your home. With a **milder flavor** compared to its serrated-leaf cousins, it's especially wonderful for **baby leaf and microgreen production**. Easy to grow and a prolific producer, it's a popular choice in Asian cuisines and is also recognized by names like ""Crown Daisy,"" ""Edible Chrysanthemum,"" ""Chop Suey Greens,"" and ""Shungiku.""",Container growing; Cut flowers; Edible Flowers; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Garland- Large Round Leaf_Glebionis coronaria/Garland- Large Round Leaf_Glebionis coronaria_1.jpg; Garland- Large Round Leaf_Glebionis coronaria/Garland- Large Round Leaf_Glebionis coronaria_2.jpg,"February, March, April, September, October, November","January, August, September, October, November, December","January, February, March, April, August, September, October, November, December","January, August, September, October, November, December","February, March, April, September, October, November","Beans, Tomato, Broccoli, Cauliflower, Eggplant","Lettuce, Small Herbs (due to shading)","Carrot, Cucumber, Peppers, Basil"
Garland- Serrate Leaf,Glebionis coronaria,herb,Annual 80cm; Salad green/Culinary herb; Edible leaved Chrysanthemum,30-50 days,40cm,6mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-10 days @ 15-22°C,Sow direct or raise seedlings,Hardy Annual,Great flavour; Peppery flavour,"**Garland- Serrate Leaf** (*Glebionis coronaria*) is an upright, bushy annual that reaches about *80cm* in height, producing charming **yellow and white daisy flowers**. Its **dark green, serrated leaves** are edible both raw and cooked, lending a **stronger flavor** that is particularly well-suited for enhancing soups and stir-fries. Like its round-leaf counterpart, this variety is **fast-growing and heavy-producing**, making it a rewarding choice for **containers, garden beds, or as cut flowers**. Known also as ""Chop Suey Greens"" and ""Shungiku,"" these serrated-leaf types offer a more robust taste experience.",Container growing; Cut flowers; Edible Flowers; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_1.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_2.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_3.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_4.jpg,"February, March, April, September, October, November","January, August, September, October, November, December","January, February, March, April, August, September, October, November, December","January, August, September, October, November, December","February, March, April, September, October, November","cabbage, broccoli, kale, lettuce, peas, beans","mustard greens, fennel","carrots, beets, radishes, onions, spinach"
Garlic Chives,Allium tuberosum,herb,Perennial growing to 50cm; Culinary herb; Garlic flavour,60-90 days,15cm,8mm,"Full sun, moist well drained soil","Spring, summer and autumn",14-21 days @ 15-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Garlic flavour; Peppery flavour,"**Garlic Chives** (*Allium tuberosum*) is a hardy perennial herb that grows to *50cm* in height, forming slowly spreading clumps of **long, green, strap-like leaves**. These leaves boast a **mild, pleasant flavor**, reminiscent of a delightful blend between regular chives and garlic. They are wonderfully versatile, suitable for eating raw or cooked, and are an excellent addition to salads, sauces, stir-fries, and a variety of fish, poultry, and egg dishes. This attractive plant also produces **white, star-shaped flowers** and can be successfully **grown in containers**, making it a convenient and flavorful herb for any garden. It is also commonly referred to as ""Chinese chives.""",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_1.jpg; Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_2.jpg; Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_3.jpg,"January, February, March, October, November, December","January, February, March, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, September, October, November, December","carrots, tomatoes, peppers, roses, cabbage, broccoli, fruit trees","beans, peas, asparagus, alfalfa","lettuce, spinach, squash, corn, parsley, thyme"
Garlic Chives - New Belt,Allium tuberosum,herb,Perennial 40cm; Used in many Asian cuisines; Mild garlic flavour,60-90 days,15cm,8mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-14 days @ 15-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost hardy Perennial,Mild garlic flavour; Peppery flavour,"**Garlic Chives - New Belt** (*Allium tuberosum*) is a **hardy perennial herb** that will reach a height of *40cm*. It forms attractive clumps of **dark green, flat leaves**, each *1 to 1.5cm wide*. This delightful variety offers a **mild garlic flavour**, making it a **popular ingredient in many Asian cuisines**. Also recognized as 'New Belt', Gow Choy, or Nira chives, it's a versatile addition for both **culinary and medicinal uses**.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_1.jpg; Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_2.jpg; Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_3.jpg,"January, February, March, October, November, December","January, February, March, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, September, October, November, December","carrots, tomatoes, peppers, roses, cabbage, broccoli, fruit trees","beans, peas, asparagus, alfalfa","lettuce, spinach, squash, corn, parsley, thyme"
German Chamomile,Matricaria recutita,herb,Annual 50cm; Medicinal herb; True chamomile,65 days,30cm,1mm,"Full sun, well drained soil",Spring and autumn,7-14 days @ 20-30°C,Sow direct or raise seedlings,Hardy Annual,Best flavour of the common thyme varieties; Peppery flavour,"**German Chamomile** (*Matricaria recutita*) is a charming **annual herb** that grows up to *50cm* tall. It produces **delicate, daisy-like flowers** with **bright white petals** and **sunny yellow centres**, exuding a **lovely aroma**. These flowers are perfect for making a soothing tea and are valued for their **various medicinal properties**. This plant is also a **fantastic ground cover**, ideal for planting around pathways, and can even be successfully **grown in containers**, adding beauty and utility to any garden space.",White/Cream Flowers; Container growing; Ground Cover; Culinary use; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",German Chamomile_Matricaria recutita/German Chamomile_Matricaria recutita_1.jpg; German Chamomile_Matricaria recutita/German Chamomile_Matricaria recutita_2.jpg,"September, October, November, December","July, August, September, October, November","March, April, May, June, July, August, September, October","January, February, March, April, May, June, July, August, September, October, November, December","August, September","cabbage, broccoli, onions, cucumbers, mint","asters, ragweed","carrots, lettuce, spinach, beans, peas, tomatoes"
Golden Marguerite- Kelawayi,Anthemis tinctoria,herb,"""Dye Plant""; Attracts bees",60-80 days,35cm,2mm,"Full sun, moist well drained soil",Spring,14-28 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Peppery flavour,"**Golden Marguerite - Kelawayi** (*Anthemis tinctoria*) is a **beautiful flowering perennial** that reaches approximately *50cm* in height. It boasts **clump-forming habits** with **lacy green foliage** and **vibrant yellow, daisy-like flowers** on **long stems**. This plant is not only **highly attractive** for garden borders and as a cut flower but also **attracts beneficial bees** to your garden. ***A truly special feature*** is its drought tolerance and the historical use of its flowers to create a natural dye for fabrics. It's also known by many names, including Dye Plant, Dyers Chamomile, and Yellow Chamomile.",Yellow Flowers; Attracts beneficial insects; Borders; Drought tolerant; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_1.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_2.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_3.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_4.jpg,"August, September, October, November","August, September, October, November","April, May, June, July, August, September","April, May, June","April, May, June, July, August, September","squash, cucumbers, tomatoes, peppers, fruit trees","lettuce, carrots, parsley (when direct-sown)","corn, beans, established herbs, potatoes"
Greek Mountain Tea,Sideritis syriaca,herb,"Low-growing, bushy perennial herb; Popular herbal tea; Medicinal herb",90 days,25cm,0mm,Full sun,Spring,28 days @ 20-25°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Peppery flavour,"**Greek Mountain Tea** (*Sideritis syriaca*) is a charming, **low-growing, bushy perennial herb** that brings both beauty and utility to your garden. Its small, woolly, grey-green leaves and a robust taproot allow it to thrive in **drought conditions**, **dry, alkaline soils**, and **full sun**. In summer, it graces us with small, **bright yellow flowers**, making it a delightful addition to rock gardens and a magnet for **pollinators**. Beyond its ornamental appeal, **Greek Mountain Tea** boasts a rich history of **traditional medicinal uses** and is a **popular herbal tea**, offering a fragrant and beneficial brew.",Yellow Flowers; Attracts beneficial insects; Drought tolerant; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_1.jpg; Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_2.jpg; Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_3.jpg,"September, October, November",,,,,"rosemary, thyme, oregano, lavender, sage","mint, basil, lettuce, spinach, plants requiring moist soil","tomatoes, peppers, zucchini, eggplant (with careful watering)"
Heal All,Prunella vulgaris,herb,"History of medicinal use; Natural olive-green dye; Also known as ""Self heal""",60-65 days,30cm,2mm,"Part or full sun, moist well drained soil",Spring,14-21 days @ 15-21°C,Sow direct or raise seedlings,Hardy Perennial,Peppery flavour,"**Heal All** (*Prunella vulgaris*), also known as ""Self-heal,"" is a **vigorous perennial herb** that grows to about *20cm* tall and is **hardy once established**. Its leaves offer a **bitter, minty flavor** due to high tannin content and can be enjoyed raw in salads, added to cooked dishes, or dried for tea. **Heal All** has a long **history of medicinal use** for various ailments and can even be used to create a **natural olive-green dye** from its flowers and stems. Its **purple or violet flowers**, borne on dense upright spikes, are a welcome sight for **bees**, and its vigorous growth makes it an excellent choice for a **lawn replacement** or **meadow planting**.",Attracts beneficial insects; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Heal All_Prunella vulgaris/Heal All_Prunella vulgaris_1.jpg,"September, October, November",,,,,"tomatoes, corn, sunflowers, fruit trees, cabbage","lettuce seedlings, carrot seedlings, other delicate, low-growing plants","peppers, beans, broccoli, established herbs"
