plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Dandelion,Taraxacum officinale,herb,Perennial 50cm; Culinary and medicinal herb; Very nutritious,95-110 days,30cm,1mm,"Part or full sun, moist soil",Spring and summer,7-21 days @ 10-20°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,,"**Chenopodium ambrosioides** (Purslane) is a perennial that grows up to 50cm tall, featuring edible leaves that can be eaten raw or cooked. The plant has a slightly bitter flavor but is rich in nutrients and often used as a salad green or in teas. It also has various medicinal uses.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dandelion_Taraxacum officinale/Dandelion_Taraxacum officinale_1.jpg; Dandelion_Taraxacum officinale/Dandelion_Taraxacum officinale_2.jpg; Dandelion_Taraxacum officinale/Dandelion_Taraxacum officinale_3.jpg; Dandelion_Taraxacum officinale/Dandelion_Taraxacum officinale_4.jpg,"September, October, November",,,,
Dangshen,Codonopsis pilosula,herb,"Bell-shaped, yellow-green flowers; Climbing perennial; Medicinal herb",2 to 3 years,60cm,Surface sow,"Part or full sun, moist well drained soil",Spring and summer,42 days @ 18-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,,"**Asparagus cochinchinensis**, commonly known as 'Poor Man's Ginseng', is a climbing perennial with twining stems, ovate leaves, and bell-shaped flowers featuring distinctive purple spots. Its carrot-like roots have been used medicinally for centuries due to their mild properties.",White/Cream Flowers; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dangshen_Codonopsis pilosula/Dangshen_Codonopsis pilosula_1.jpg; Dangshen_Codonopsis pilosula/Dangshen_Codonopsis pilosula_2.jpg,"September, October, November",,,,
Dill,Anethum graveolens,herb,Annual 90cm; Culinary herb; Delicate aromatic foliage,60 days (seed: 100 days),20cm,2mm,"Full sun, moist soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Best flavour of the common thyme varieties,"*Anethum graveolens* (Dill) is an annual that reaches 90cm in height and boasts aromatic foliage reminiscent of fennel. The plant's leaves can be used fresh as a garnish, while the seeds are used as a spice in teas, bread, soups, and preserves.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dill_Anethum graveolens/Dill_Anethum graveolens_1.jpg; Dill_Anethum graveolens/Dill_Anethum graveolens_2.jpg; Dill_Anethum graveolens/Dill_Anethum graveolens_3.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August"
Dill- Compatto,Anethum graveolens,herb,Annual 45cm; Suitable to grow in pots; Culinary herb,40 days,20cm,2mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost hardy Annual,,"This compact variety of dill grows to 45cm and is ideal for containers due to its hardy annual nature and dark green aromatic foliage. Its leaves can be used to flavor soup, lamb, fish, or eggs, while the seeds have a high essential oil content, making them perfect for teas, bread, soups, or preserves.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_1.jpg; Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_2.jpg; Dill- Compatto_Anethum graveolens/Dill- Compatto_Anethum graveolens_3.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August"
Dill- Mammoth,Anethum graveolens,herb,Annual 90cm; Culinary herb; Large variety,60 days (seed: 85 days),20cm,2mm,"Full sun, moist soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,,"This larger and more sparse variety of dill is well-suited for seed production and grows up to 90cm tall. It boasts aromatic foliage similar to fennel and can be used in various dishes, from salads to dips, while the seeds are perfect for adding a flavorful spice to teas, bread, soups, or preserves.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_1.jpg; Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_2.jpg; Dill- Mammoth_Anethum graveolens/Dill- Mammoth_Anethum graveolens_3.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August"
Dill- Tetra,Anethum graveolens,herb,Slow bolt variety; Good variety for fresh leaf production,60 days (seed: 100 days),30cm,2mm,"Full sun, moist soil","Spring, summer and autumn",7-21 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Slow bolt variety,"*Anethum graveolens* (Dill) 'Dukat' is an annual that grows between 80-100cm tall and is prized for its slow bolting habit and abundance of foliage prior to seed production. This variety is excellent for fresh leaf production and container gardening, featuring delicate lacy dark green foliage.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Dill- Tetra_Anethum graveolens/Dill- Tetra_Anethum graveolens_1.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","March, April, May, June, July, August, September, October","April, May, June, July, August, September","July, August"
Echinacea- Pale Purple Coneflower,Echinacea pallida,herb,Perennial 80cm; Medicinal herb; Great for bees,90-110 days,50cm,1mm,"Part or full sun, moist well drained soil",Spring and autumn,10-20 days @ 20-25°C,Sow direct or raise seedlings,Hardy Perennial,,". **Coneflower**, *Echinacea tincture*, is a perennial that grows up to 80cm tall and features cone-shaped daisy-like flowers with thin reflexed pale purple petals. It attracts beneficial insects, small birds, butterflies, and bees to the garden while producing an abundance of flowers from early summer through late autumn.",Pink/Rose Flowers; Attracts beneficial insects; Borders; Beds; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Echinacea- Pale Purple Coneflower_Echinacea pallida/Echinacea- Pale Purple Coneflower_Echinacea pallida_1.jpg; Echinacea- Pale Purple Coneflower_Echinacea pallida/Echinacea- Pale Purple Coneflower_Echinacea pallida_2.jpg,"September, October, November, December","January, September, October, November, December","March, April, May, September, October, November","March, April, May, September, October, November","September, October, November, December"
Elecampane,Inula helenium,herb,"Large, bright yellow flowers; Attracts pollinators; Medicinal herb",120 days,90cm,2mm to 6mm,Full sun to partial shade,Spring and Autumn,28 days @ 15-20°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,,"**Goldenrod (Solidago virgaurea)** is a striking upright perennial herb that boasts large, coarse elliptic leaves and spreading rhizomes. Its bright yellow flowers bloom from mid-summer to early autumn, attracting pollinators to cottage and wildflower gardens. With a long history of traditional medicine use and as an ingredient in absinthe, this plant thrives in a range of conditions and soil types.",Yellow Flowers; Attracts beneficial insects; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Elecampane_Inula helenium/Elecampane_Inula helenium_1.jpg; Elecampane_Inula helenium/Elecampane_Inula helenium_2.jpg,"September, October, November",,,,
European Goldenrod,Solidago virgaurea,herb,Upright perennial herb; Medicinal uses; Attracting pollinators,120 days,20cm,2mm,"Full sun, moist well drained soil.","Autumn, Winter and Spring",14-35 days @ 10-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,,"Unlike its invasive counterparts, **Solidago virgaurea** is a gentle giant that tolerates various soil types while preferring moist but well-drained conditions. This upright perennial herb features elliptical leaves and spreading rhizomes, with bright yellow flowers blooming from mid-summer to early autumn. Its long history of traditional medicine use makes it a valuable addition to cottage gardens and wildflower meadows.",Yellow Flowers; Attracts beneficial insects; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",European Goldenrod_Solidago virgaurea/European Goldenrod_Solidago virgaurea_1.jpg; European Goldenrod_Solidago virgaurea/European Goldenrod_Solidago virgaurea_2.jpg,"September, October, November",,,,
Evening Primrose,Oenothera biennis,herb,Biennial 120cm; Medicinal herb; Fragrant yellow flowers,75-85 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,15-30 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Biennial,,"**Evening Primrose (Oenothera biennis)** is a biennial gem that grows up to 120cm in height, boasting medium-green leaves and fragrant yellow flowers that open in the evening. This enchanting plant has been prized for its medicinal properties for centuries, making it a valuable addition to any garden or herbal collection.",Yellow Flowers; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_1.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_2.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_3.jpg,"September, October, November",,,,
Fenugreek,,herb,Annual 60cm; Medicinal and culinary herb; Spicy flavour,,40cm,10mm,"Full sun, moist well drained soil",Spring and autumn,3-5 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Spicy flavour,"**Garden Radish (Raphanus sativus)** is an annual delight that grows up to 60cm in height. Its young leaves are perfect for salads, while older leaves add depth of flavour as a pot herb. The seeds themselves have a spicy kick and can be used in curries, roasts, pickles, chutneys, breads, and teas. With multiple uses in cooking and medicine, this plant is a versatile addition to any garden.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Fenugreek_unknown/Fenugreek_unknown_1.jpg; Fenugreek_unknown/Fenugreek_unknown_2.jpg; Fenugreek_unknown/Fenugreek_unknown_3.jpg,"September, October, November",,,,
Feverfew- Snowball,Tanacetum parthenium,herb,Perennial 25cm; White pompom like flowers,130 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,10-14 days @ 20-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial (short lived),,"**Matricaria** (also known as _Chrysanthemum parthenium_ or _Matricaria capensis_) is a charming short-lived perennial that grows up to 25cm tall. Its small pompom-like white flowers have soft buttery yellow centres that turn pure white as they open fully, making them perfect for borders, pots, containers, hanging baskets, and mass plantings.",White/Cream Flowers; Container growing; Borders; Mass plantings; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Feverfew- Snowball_Tanacetum parthenium/Feverfew- Snowball_Tanacetum parthenium_1.jpg,"January, February, September, October, November, December","January, February, September, October, November, December","January, August, September, October, November, December","March, April, May","January, September, October, November, December"
Feverfew- Tall Single White,Tanacetum parthenium,herb,Perennial 60cm; Single white daisy like flowers,100-110 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,10-14 days @ 20-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial (short lived),,"**Chrysanthemum parthenium** is another name for this short-lived perennial, which grows up to 60cm tall with small single white daisy-like flowers. It's a popular ornamental that adds a touch of elegance to any garden or arrangement.",White/Cream Flowers; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Feverfew- Tall Single White_Tanacetum parthenium/Feverfew- Tall Single White_Tanacetum parthenium_1.jpg,"January, February, September, October, November, December","January, February, September, October, November, December","January, August, September, October, November, December","March, April, May","January, September, October, November, December"
Florence Fennel,,herb,Vegetable/herb; Sweet aniseed/celery flavour,80-90 days,45cm,8mm,"Full sun, moist well drained soil","Autumn, spring and early summer (in cool climates)",7-14 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet aniseed/celery flavour; Peppery flavour,"**Florence Fennel (Foeniculum vulgare 'Florence')** is a perennial that is often grown as an annual, producing a swollen bulbous base with short stems and fine feathery foliage. Its sweet flavour combines the earthiness of celery with the licorice note of aniseed, making it a versatile addition to a wide range of dishes.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Florence Fennel_unknown/Florence Fennel_unknown_1.jpg; Florence Fennel_unknown/Florence Fennel_unknown_2.jpg,"January, February, March, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May","April, May, June, July","March, April, May"
Garden Cress- Extra Curled,Lepidium sativum,herb,Biennial 20cm; Culinary herb/vegetable; Peppery flavour,25 days,4cm,4mm,"Part or full sun, moist soil","Spring, summer, autumn and winter",10-14 days @ 7-15°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Peppery flavour,"**Garden Cress (Lepidium sativum)** is an annual delight that grows up to 20cm tall, featuring green curled leaves with a sweet and hot peppery flavour. It's perfect for adding zing to salads, sandwiches, or as a garnish, making it a popular choice among chefs.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garden Cress- Extra Curled_Lepidium sativum/Garden Cress- Extra Curled_Lepidium sativum_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Garden Cress- Wrinkled Crinkled,Lepidium sativum,herb,Biennial 15cm; Culinary herb/vegetable; Peppery flavour,25 days,4cm,4mm,"Part or full sun, moist soil","Spring, summer, autumn and winter",10-14 days @ 7-15°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Peppery flavour,"**Garden Cress** (also known as _Lepidium sativum_) is a biennial growing up to 15cm tall, boasting green crinkled leaves with a sweet and hot peppery flavour. It's an ideal addition to salads, sandwiches, or as a garnish, making it a popular choice among chefs.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_1.jpg; Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_2.jpg; Garden Cress- Wrinkled Crinkled_Lepidium sativum/Garden Cress- Wrinkled Crinkled_Lepidium sativum_3.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Garland- Large Round Leaf,Glebionis coronaria,herb,Annual 80cm; Salad green/Culinary herb; Fast growing,30 days,40cm,6mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-10 days @ 15-22°C,Sow direct or raise seedlings,Hardy Annual,Fast growing; Peppery flavour,". **Crown Daisy (Chrysanthemum coronarium)** is an annual that grows up to 80cm tall, featuring large rounded leaves that can be used like a salad green or cooked like spinach. Its mild flavour makes it a great addition to Asian-inspired dishes, while its fast growth rate and heavy cropping make it a popular choice for gardeners of all levels.",Container growing; Cut flowers; Edible Flowers; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Garland- Large Round Leaf_Glebionis coronaria/Garland- Large Round Leaf_Glebionis coronaria_1.jpg; Garland- Large Round Leaf_Glebionis coronaria/Garland- Large Round Leaf_Glebionis coronaria_2.jpg,"February, March, April, September, October, November","January, August, September, October, November, December","January, February, March, April, August, September, October, November, December","January, August, September, October, November, December","February, March, April, September, October, November"
Garland- Serrate Leaf,Glebionis coronaria,herb,Annual 80cm; Salad green/Culinary herb; Edible leaved Chrysanthemum,30-50 days,40cm,6mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-10 days @ 15-22°C,Sow direct or raise seedlings,Hardy Annual,Great flavour; Peppery flavour,"**Chrysanthemum coronarium**, also known as ""Chop Suey Greens"" or ""Shungiku"", is an annual growing to 80cm with a bushy, upright habit. Its yellow and white daisy flowers are complemented by dark green serrated leaves that can be enjoyed raw or cooked, adding a strong flavor to soups and stir-fries. This versatile plant thrives in containers, garden beds, or as a cut flower crop.",Container growing; Cut flowers; Edible Flowers; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_1.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_2.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_3.jpg; Garland- Serrate Leaf_Glebionis coronaria/Garland- Serrate Leaf_Glebionis coronaria_4.jpg,"February, March, April, September, October, November","January, August, September, October, November, December","January, February, March, April, August, September, October, November, December","January, August, September, October, November, December","February, March, April, September, October, November"
Garlic Chives,Allium tuberosum,herb,Perennial growing to 50cm; Culinary herb; Garlic flavour,60-90 days,15cm,8mm,"Full sun, moist well drained soil","Spring, summer and autumn",14-21 days @ 15-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Garlic flavour; Peppery flavour,"**Chinese Chives** ( perennial growing to 50cm) produce slowly spreading clumps with long, green strap-like leaves that host white star-shaped flowers. The mild flavor of these leaves is reminiscent of regular chives and garlic, making them an excellent addition to salads, sauces, stir-fries, and dishes featuring fish, poultry, or eggs. They can be grown in containers and add a touch of Asian charm to any garden.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_1.jpg; Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_2.jpg; Garlic Chives_Allium tuberosum/Garlic Chives_Allium tuberosum_3.jpg,"January, February, March, October, November, December","January, February, March, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, September, October, November, December"
Garlic Chives - New Belt,Allium tuberosum,herb,Perennial 40cm; Used in many Asian cuisines; Mild garlic flavour,60-90 days,15cm,8mm,"Full sun, moist well drained soil","Spring, summer and autumn",7-14 days @ 15-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost hardy Perennial,Mild garlic flavour; Peppery flavour,"**Allium tuberosum rottler**, also known as 'New Belt', Gow Choy, or Nira chives, is a perennial herb that forms clumps of dark green flat leaves 1-1.5cm wide, growing up to 40cm tall. This variety boasts a mild garlic flavor and is highly prized in many Asian cuisines for its delicate taste.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_1.jpg; Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_2.jpg; Garlic Chives - New Belt_Allium tuberosum/Garlic Chives - New Belt_Allium tuberosum_3.jpg,"January, February, March, October, November, December","January, February, March, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, September, October, November, December"
German Chamomile,Matricaria recutita,herb,Annual 50cm; Medicinal herb; True chamomile,65 days,30cm,1mm,"Full sun, well drained soil",Spring and autumn,7-14 days @ 20-30°C,Sow direct or raise seedlings,Hardy Annual,Best flavour of the common thyme varieties; Peppery flavour,"**True Chamomile** (annual growing to 50cm) boasts small daisy-like flowers with white petals and yellow centers, emitting a strong aroma that's simply irresistible. The dried flowers are used to make a soothing tea, while the plant itself has various medicinal uses. As a bonus, it makes an excellent ground cover or pathway edging, and can thrive in containers.",White/Cream Flowers; Container growing; Ground Cover; Culinary use; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",German Chamomile_Matricaria recutita/German Chamomile_Matricaria recutita_1.jpg; German Chamomile_Matricaria recutita/German Chamomile_Matricaria recutita_2.jpg,"September, October, November, December","July, August, September, October, November","March, April, May, June, July, August, September, October","January, February, March, April, May, June, July, August, September, October, November, December","August, September"
Golden Marguerite- Kelawayi,Anthemis tinctoria,herb,"""Dye Plant""; Attracts bees",60-80 days,35cm,2mm,"Full sun, moist well drained soil",Spring,14-28 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Peppery flavour,"**Dyers Chamomile**, also known as Oxeye chamomile, Yellow Chamomile, Golden Chamomile, Dye Plant, or Boston Daisy (flowering perennial growing to 50cm), showcases bright yellow, long-stemmed daisy-like flowers on clump-forming green lacy foliage. Its vibrant blooms attract bees and add a pop of color to garden borders and as cut flowers. The plant is even drought-tolerant and can be used to create a natural dye for fabrics.",Yellow Flowers; Attracts beneficial insects; Borders; Drought tolerant; Medicinal use; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_1.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_2.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_3.jpg; Golden Marguerite- Kelawayi_Anthemis tinctoria/Golden Marguerite- Kelawayi_Anthemis tinctoria_4.jpg,"August, September, October, November","August, September, October, November","April, May, June, July, August, September","April, May, June","April, May, June, July, August, September"
Greek Mountain Tea,Sideritis syriaca,herb,"Low-growing, bushy perennial herb; Popular herbal tea; Medicinal herb",90 days,25cm,0mm,Full sun,Spring,28 days @ 20-25°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Peppery flavour,"**Greek Mountain Tea** (low-growing, bushy perennial herb) boasts small, woolly, grey-green leaves and a deep taproot. Its bright yellow flowers bloom in summer, while the plant itself has a long history of traditional medicinal uses and as a popular herbal tea. It thrives in dry and alkaline soils with full sun, making it an excellent choice for rock gardens and attracting pollinators.",Yellow Flowers; Attracts beneficial insects; Drought tolerant; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_1.jpg; Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_2.jpg; Greek Mountain Tea_Sideritis syriaca/Greek Mountain Tea_Sideritis syriaca_3.jpg,"September, October, November",,,,
Heal All,Prunella vulgaris,herb,"History of medicinal use; Natural olive-green dye; Also known as ""Self heal""",60-65 days,30cm,2mm,"Part or full sun, moist well drained soil",Spring,14-21 days @ 15-21°C,Sow direct or raise seedlings,Hardy Perennial,Peppery flavour,"**Self Heal** (perennial growing to 20cm) has leaves that can be consumed raw in salads or added to cooked meals, while the dried form makes a soothing tea. The bitter minty flavor of these leaves is due to their high tannin content. This versatile plant has been used for centuries as an herbal remedy and can even be grown as a lawn replacement or in meadows.",Attracts beneficial insects; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Heal All_Prunella vulgaris/Heal All_Prunella vulgaris_1.jpg,"September, October, November",,,,
Herb Robert,Geranium robertianum,herb,"Medicinal Herb; Easy to grow; Also known as ""Red Robin"", ""Stinking Bob"" or ""Death come quickly""",70 days,50cm,2mm,"Shade or part sun, moist well drained soil",Spring,7-14 days @ 15-24°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),,"**Herb Robert** (biennial medicinal herb growing up to 40cm tall) boasts dainty green foliage with red stems, producing small pink/purple flowers over a long flowering period. The leaves can turn red in direct sunlight, adding an interesting touch to the plant's appearance. Herb Robert has been used for centuries as an immune-boosting supplement and can be grown in shady locations.",Attracts beneficial insects; Beds; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Herb Robert_Geranium robertianum/Herb Robert_Geranium robertianum_1.jpg,"September, October, November",,,,
Holy Basil,Ocimum tenuiflorum,herb,Annual herb; Spicy flavour,100-110 days,40cm,1mm,"Full sun, moist well drained soil",Spring and early summer,8-14 days @ 21-23°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half hardy Annual,Spicy flavour; Peppery flavour,"**Sacred Basil** (annual herb growing 30-60cm tall) boasts upright purple stems, slightly hairy aromatic green oval-shaped leaves, and small white/mauve flowers in summer. The leaves have a slightly spicy flavor and are commonly used as a flavoring in Thai cuisine, while the plant itself is sometimes grown as an ornamental.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Holy Basil_Ocimum tenuiflorum/Holy Basil_Ocimum tenuiflorum_1.jpg; Holy Basil_Ocimum tenuiflorum/Holy Basil_Ocimum tenuiflorum_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Holy Basil- Red,Ocimum tenuiflorum,herb,Annual herb; Purple/green leaves,100-110 days,40cm,1mm,"Full sun, moist well drained soil",Spring and early summer,8-14 days @ 21-23°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half hardy Annual,Peppery flavour,". **Krishna Tulsi** (annual herb growing 30-60cm tall) boasts upright purple stems, slightly hairy aromatic green to purple oval-shaped leaves, and small white/mauve flowers in summer. The leaves have a slightly spicy flavor and are commonly used as a flavoring in Thai cuisine, while the plant itself is sometimes grown as an ornamental.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Holy Basil- Red_Ocimum tenuiflorum/Holy Basil- Red_Ocimum tenuiflorum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Hyssop,Hyssopus officinalis,herb,Perennial 50cm; Culinary and medicinal herb; Attracts bees and butterflies,90-95 days,60cm,6mm,"Full sun, moist well drained soil",Spring and autumn,3-10 days @ 20-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Peppery flavour,"**Lemon Balm (Melissa officinalis)**: This evergreen perennial grows up to 50cm tall, boasting aromatic green foliage and spikes of small, attractive violet/blue flowers. With its strong, bitter minty flavor, it's a popular addition to soups, stews, salads, meat, and egg dishes. Bees and butterflies love its blooms, making it an excellent choice for borders and herb gardens.",Attracts beneficial insects; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Hyssop_Hyssopus officinalis/Hyssop_Hyssopus officinalis_1.jpg; Hyssop_Hyssopus officinalis/Hyssop_Hyssopus officinalis_2.jpg; Hyssop_Hyssopus officinalis/Hyssop_Hyssopus officinalis_3.jpg,"January, February, September, October, November, December","January, February, September, October, November, December","January, February, September, October, November, December","January, February, September, October, November, December","January, February, September, October, November, December"
Hyssop- Mexican Giant,Agastache mexicana,herb,"Perennial to 90cm; Purple, blue and white flower spikes; Leaves can be used in tea",80-90 days,70cm,1mm,"Full sun, well drained soil",Spring,14-30 days @ 15-24°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost Hardy Perennial,,"**Lavender Mint (Mentha x piperita f. citrata)**: This upright perennial reaches 90cm in height, showcasing dense purple, blue, and white flower spikes from summer to autumn. Its mid-green leaves are strongly aromatic and can be dried for use in tea. It tolerates poor soil and drought once established, making it suitable for borders, perennial gardens, and mass planting.",mixed Flowers; Attracts beneficial insects; Borders; Beds; Mass plantings; Drought tolerant; Culinary use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Hyssop- Mexican Giant_Agastache mexicana/Hyssop- Mexican Giant_Agastache mexicana_1.jpg; Hyssop- Mexican Giant_Agastache mexicana/Hyssop- Mexican Giant_Agastache mexicana_2.jpg; Hyssop- Mexican Giant_Agastache mexicana/Hyssop- Mexican Giant_Agastache mexicana_3.jpg,"September, October, November",,,,
