plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Chinese Mustard Greens- Gai Choi,Brassica juncea,vegetable,Leaf vegetable/salad green; Quick growing; Semi heading variety,50 days,15cm,5mm,"Part or full sun, moist soil",Spring and autumn,4-21 days @ 7-29°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,,"****Mizuna Mustard****: This fast-growing, semi-heading variety features wide green leaves and thick white stems with a medium mustard flavour. It's perfect for using in salads, as a leaf vegetable, or adding to soups and stir-fries. Its good growth habit makes it ideal for baby leaves.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chinese Mustard Greens- Gai Choi_Brassica juncea/Chinese Mustard Greens- Gai Choi_Brassica juncea_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Chinese Mustard- Lime Streaks,Brassica japonica,vegetable,Mild flavour; Attractive green leaves,55 days (25 days for baby leaf),20cm,5mm,"Part or full sun, moist soil",Spring and autumn,5-10 days @ 7-29°C,Sow direct or raise seedlings,Hardy Annual,Mild flavour,"***Mizuna* Green Mustard**: With fast-growing plants boasting bright green serrated leaves, this variety is perfect for adding to salads and sandwiches. It has a mildly pungent flavour and can be grown as a microgreen, making it an excellent choice for home gardeners.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chinese Mustard- Lime Streaks_Brassica japonica/Chinese Mustard- Lime Streaks_Brassica japonica_1.jpg; Chinese Mustard- Lime Streaks_Brassica japonica/Chinese Mustard- Lime Streaks_Brassica japonica_2.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Chinese Mustard- Ruby Streaks,Brassica japonica,vegetable,Mild flavour; Attractive ruby leaves,55 days (25 days for baby leaf),20cm,5mm,"Part or full sun, moist soil",Spring and autumn,5-10 days @ 7-29°C,Sow direct or raise seedlings,Hardy Annual,Mild flavour,"**Red Mizuna**: Similar to the previous variety, Red Mizuna features fast-growing plants with attractive red cut-leaf foliage and a mildly pungent flavour. Perfect for salads and sandwiches, this variety is also suitable for growing as a microgreen.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chinese Mustard- Ruby Streaks_Brassica japonica/Chinese Mustard- Ruby Streaks_Brassica japonica_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Climbing Bean- Blue Lake,Phaseolus vulgaris,vegetable,Climbing; Green stringless pods to 15cm; Heavy bearing,65-75 days,15cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-14 days @ 18-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender,,"****Climbing Green Bean****: This stringless climbing bean produces green, rounded pods that grow up to 15cm long, offering an excellent flavour. The tender pods stay delicious even when mature, making it a heavy-bearing variety.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Climbing Bean- Blue Lake_Phaseolus vulgaris/Climbing Bean- Blue Lake_Phaseolus vulgaris_1.jpg; Climbing Bean- Blue Lake_Phaseolus vulgaris/Climbing Bean- Blue Lake_Phaseolus vulgaris_2.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Climbing Bean- Kentucky Wonder Pole,Phaseolus vulgaris,vegetable,Climbing (Pole); Brown Seeds; Heavy Yielding,65-75 days,15cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-14 days @ 18-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Heavy Yielding,"**Kentucky Wonder Climbing Bean**: As a heritage climber, this green bean has silvery-green, fleshy pods growing to 18-25cm in length. Its flavourful beans are best enjoyed fresh when young, but can also be frozen for later use. This heirloom variety was developed in Kentucky in the 1850s and grows approximately 1.8-2.2m tall.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Climbing Bean- Kentucky Wonder Pole_Phaseolus vulgaris/Climbing Bean- Kentucky Wonder Pole_Phaseolus vulgaris_1.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Climbing Bean- Kentucky Wonder Wax,Phaseolus vulgaris,vegetable,Climbing (Pole); Stringless Butter Bean; Heavy Yielding,65-75 days,15cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-14 days @ 18-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Heavy Yielding,"**Butter Bean**: With long, slightly flattened pods that deepen to a creamy light yellow colour as they mature, this butter bean is stringless when picked young. The plants grow vigorously up to 1.8-2.4m, yielding heavily until late in the season.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris/Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris_1.jpg; Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris/Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris_2.jpg; Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris/Climbing Bean- Kentucky Wonder Wax_Phaseolus vulgaris_3.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Climbing Bean- Madagascar,Phaseolus limensis,vegetable,Perennial climbing bean; Large white seeds speckled with maroon; Also known as 'Tropical lima bean',80-105 days,60cm,30mm,"Full sun, moist soil",Spring,7-14 days @ 6-24°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Tender Perennial (grown as an annual in cool climates),,"**Tropical Lima Bean**: A vigorous climber from Peru, this perennial lima bean grows to 2m on a trellis and produces small pods with white seeds that darken to brown speckles when dried. Young pods can be steamed or used raw, while mature seeds can be stored and soaked for added nutrition.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Climbing Bean- Madagascar_Phaseolus limensis/Climbing Bean- Madagascar_Phaseolus limensis_1.jpg; Climbing Bean- Madagascar_Phaseolus limensis/Climbing Bean- Madagascar_Phaseolus limensis_2.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Climbing Bean- Purple King,Phaseolus vulgaris,vegetable,Climbing; Long purple pods; Long producing,65-75 days,15cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-14 days @ 18-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,". **Magic Purple Bean**: This popular climbing bean variety boasts straight purple pods that turn green when cooked, growing up to 18cm in length. Its long production makes it an excellent choice for home gardeners looking to harvest a bountiful crop.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Climbing Bean- Purple King_Phaseolus vulgaris/Climbing Bean- Purple King_Phaseolus vulgaris_1.jpg; Climbing Bean- Purple King_Phaseolus vulgaris/Climbing Bean- Purple King_Phaseolus vulgaris_2.jpg; Climbing Bean- Purple King_Phaseolus vulgaris/Climbing Bean- Purple King_Phaseolus vulgaris_3.jpg; Climbing Bean- Purple King_Phaseolus vulgaris/Climbing Bean- Purple King_Phaseolus vulgaris_4.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Collards- Georgia Southern,Brassica oleracea,vegetable,Leaf vegetable; Heirloom American variety from 1800's; Huge plants up to 80cm,60-80 days,100cm,6mm,"Full sun, well drained soil",Autumn and late summer,3-7 days @ 8-30°C,Sow direct or raise seedlings,Frost Hardy Biennial (usually grown as an annual),,"**American Collard Green**: A traditional heirloom collard green variety from the 1800s, producing large open heads up to 80cm diameter. Its large, thick, sweet cabbage-flavoured leaves can be eaten cooked, typically steamed or boiled, and are also great for stir-frying. This variety is heat and frost tolerant and slow to bolt.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Collards- Georgia Southern_Brassica oleracea/Collards- Georgia Southern_Brassica oleracea_1.jpg,"January, February, March, April","March, April, May, June","March, April, May, June","April, May, June, July, August","March, April, May, June"
Corn Salad,Valerianella locusta,vegetable,Annual 30cm; Salad green; Succulent leaves,45-60 days,20cm,6mm,"Full sun, moist well drained soil","Spring, autumn and early winter",7-21 days @ 10-20°C,Sow direct or raise seedlings,Hardy Annual,,"**Lambs Lettuce**: A delicate annual growing to 30cm, with succulent leaves that make an excellent salad green. It has a mild flavour and can be used as a lettuce substitute in salads or cooked into stews and soups.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Salad_Valerianella locusta/Corn Salad_Valerianella locusta_1.jpg; Corn Salad_Valerianella locusta/Corn Salad_Valerianella locusta_2.jpg,"March, April, May, August, September","April, May, August, September",,,"March, April, May, August, September"
Corn Salad- Verte de Cambrai,Valerianella locusta,vegetable,"Annual 30cm; Salad green; Also known as ""Mache"".",45 days,20cm,6mm,"Full sun, moist well drained soil","Spring, autumn and early winter",7-21 days @ 10-20°C,Sow direct or raise seedlings,Hardy Annual,Delicate tender leaves; Slow bolting,"**Verte de Cambrai**: An annual plant reaching up to 30cm in height, producing tender green leaves with a distinct sweet, nutty flavor ideal for use as a salad green. It also serves as a mild lettuce substitute and can be incorporated into cooked dishes like stews and soups. With excellent frost tolerance, 'Verte de Cambrai' thrives in cold climates.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Salad- Verte de Cambrai_Valerianella locusta/Corn Salad- Verte de Cambrai_Valerianella locusta_1.jpg,"March, April, May, August, September","April, May, August, September",,,"March, April, May, August, September"
"Corn, Maize- Blue Hopi",Zea mays,vegetable,Vegetable; Blue cobs; Drought tolerant,90-110 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Blue Hopi Corn**: An American heirloom traditionally grown by the Hopi people, producing 1 or 2 narrow cobs each with blue kernels that grow to around 18cm long. Young cobs can be cooked and eaten like sweet corn, while older cobs can be dried and ground into corn flour. Drought tolerant, making it an excellent choice for dry conditions.",Drought tolerant; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Blue Hopi_Zea mays/Corn Maize- Blue Hopi_Zea mays_1.jpg; Corn Maize- Blue Hopi_Zea mays/Corn Maize- Blue Hopi_Zea mays_2.jpg; Corn Maize- Blue Hopi_Zea mays/Corn Maize- Blue Hopi_Zea mays_3.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Blue Mini Popcorn",Zea mays,vegetable,Small blue coloured cobs; Great for popping,100 days,15cm,20mm,Full sun,Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Butterfly Popcorn**: A popular variety for growing popcorn, with small plants reaching 1-1.2m in height producing multiple cobs per plant. Cobs are between 5-10cm long and covered in small blue kernels. For optimal results, leave the corn cobs on the plant until the husks are completely dry before harvesting.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Blue Mini Popcorn_Zea mays/Corn Maize- Blue Mini Popcorn_Zea mays_1.jpg; Corn Maize- Blue Mini Popcorn_Zea mays/Corn Maize- Blue Mini Popcorn_Zea mays_2.jpg; Corn Maize- Blue Mini Popcorn_Zea mays/Corn Maize- Blue Mini Popcorn_Zea mays_3.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Glass Gem",Zea mays,vegetable,Multicoloured variety; Great for popping,100 days,15cm,20mm,Full sun,Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Rainbow Corn**: A popular maize corn with multi-coloured kernels that have a translucent glass appearance. Plants grow up to 3m tall and produce 2-3 cobs per plant. This unique rainbow corn can be used as a popping corn or ground into cornmeal, thanks to its hard and dense kernels.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Glass Gem_Zea mays/Corn Maize- Glass Gem_Zea mays_1.jpg; Corn Maize- Glass Gem_Zea mays/Corn Maize- Glass Gem_Zea mays_2.jpg; Corn Maize- Glass Gem_Zea mays/Corn Maize- Glass Gem_Zea mays_3.jpg; Corn Maize- Glass Gem_Zea mays/Corn Maize- Glass Gem_Zea mays_4.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Manning Pride",Zea mays,vegetable,Vegetable; Rare heirloom variety; Large cobs with a sweet creamy texture,90-100 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Large cobs with a sweet creamy texture,**Golden Waxy Corn**: A rare heirloom variety with large golden kernels on large cobs to 20cm. Enjoy the sweet creamy texture of the kernels when cooked and eaten young – try pan-frying with butter for best results!,Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Manning Pride_Zea mays/Corn Maize- Manning Pride_Zea mays_1.jpg; Corn Maize- Manning Pride_Zea mays/Corn Maize- Manning Pride_Zea mays_2.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Manning White",Zea mays,vegetable,Vegetable; White cobs,90-110 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**White Australian Corn**: An Australian heirloom variety, producing very tall plants that can grow up to 350cm and produce 1 large cob each with white kernels. Use fresh when young or mature them to use for corn flour.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Manning White_Zea mays/Corn Maize- Manning White_Zea mays_1.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Oaxacan Green",Zea mays,vegetable,Ornamental green cobs; Heirloom variety; Can be used to make green cornmeal and tortillas,90-110 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Mexican Green Corn**: An heirloom variety from southern Mexico, with tall (200cm) plants producing medium-sized cobs with luminous green, dented kernels in a combination of bronze, yellow, and bright emerald green. Dent corn is perfect for making green cornmeal, which adds a rich, nutty but creamy flavour to dishes like corn chips, cornbread, tortillas, and tamales.",Drought tolerant; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Oaxacan Green_Zea mays/Corn Maize- Oaxacan Green_Zea mays_1.jpg; Corn Maize- Oaxacan Green_Zea mays/Corn Maize- Oaxacan Green_Zea mays_2.jpg; Corn Maize- Oaxacan Green_Zea mays/Corn Maize- Oaxacan Green_Zea mays_3.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Maize- Silvermine",Zea mays,vegetable,Huge long corn cobs; Rare heirloom variety,100 days,40cm,20mm,Full sun,Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,. **White Cob Corn**: A rare heirloom corn producing huge 25cm long cobs with large deep white kernels. Harvest young for a slightly sweet roasted treat or mature it for use as stock feed or ground into corn meal – its incredibly large kernels (around 15mm each) thrive in poor soil conditions.,Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Maize- Silvermine_Zea mays/Corn Maize- Silvermine_Zea mays_1.jpg; Corn Maize- Silvermine_Zea mays/Corn Maize- Silvermine_Zea mays_2.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Anasazi",Zea mays,vegetable,Vegetable; Multi-coloured cobs; 2 cobs per plant,90 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**American Indian Gold** is a very old, multi-coloured heirloom variety that produces tall plants growing up to 200cm, each yielding 2 cobs with good size and sweet flavour. The kernels start off mostly yellow with some random white spots (ideal for eating when young) but change to varying mixes of yellow, white, blue, and red as they mature.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Sweet- Anasazi_Zea mays/Corn Sweet- Anasazi_Zea mays_1.jpg; Corn Sweet- Anasazi_Zea mays/Corn Sweet- Anasazi_Zea mays_2.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Balinese",Zea mays,vegetable,Vegetable; Pale yellow kernels; 2 cobs per plant,80-90 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Golden Bantam** is an heirloom variety that grows to around 200cm, producing at least 2 medium-sized cobs per plant with pale yellow kernels and excellent flavour.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Sweet- Balinese_Zea mays/Corn Sweet- Balinese_Zea mays_1.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Golden Bantam",Zea mays,vegetable,Vegetable; Cobs up to 17cm; Very good flavour,75-85 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Early Sunglow** plants grow up to 150cm, producing golden cobs up to 17cm long with golden yellow kernels, boasting a very good flavour and early cropping.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Sweet- Golden Bantam_Zea mays/Corn Sweet- Golden Bantam_Zea mays_1.jpg; Corn Sweet- Golden Bantam_Zea mays/Corn Sweet- Golden Bantam_Zea mays_2.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Legacy",Zea mays,vegetable,Heirloom variety; Large yellow cobs; High yielding,85-95 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Golden Honey** is an heirloom variety of traditional sweet corn that produces high yields of large yellow cobs, up to 20cm long with juicy kernels and excellent flavour. It's an early cropper, perfect for getting a head start on the growing season.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Sweet- Legacy_Zea mays/Corn Sweet- Legacy_Zea mays_1.jpg; Corn Sweet- Legacy_Zea mays/Corn Sweet- Legacy_Zea mays_2.jpg; Corn Sweet- Legacy_Zea mays/Corn Sweet- Legacy_Zea mays_3.jpg; Corn Sweet- Legacy_Zea mays/Corn Sweet- Legacy_Zea mays_4.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Max F1",Zea mays,vegetable,Very sweet flavour; 1-2 cobs per plant; Good disease resistance,80-100 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Silver Queen** plants grow up to 180cm, producing one or two 20cm long cobs per plant, each with yellow kernels and a very sweet flavour. This variety does well in cooler climates and has good disease resistance, but it's not suitable for seed saving.",Culinary use,,Corn Sweet- Max F1_Zea mays/Corn Sweet- Max F1_Zea mays_1.jpg; Corn Sweet- Max F1_Zea mays/Corn Sweet- Max F1_Zea mays_2.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- New Mama",Zea mays,vegetable,Super sweet flavour; Medium-large ears; Very productive,85-105 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,,"**Butter and Sugar** is a super sweet corn that produces 20cm long cobs with crisp yellow kernels. The sweet flavour lasts for a few days after harvest, making it perfect for snacking and cooking. This variety is an early cropper and very productive, producing one to three ears per plant.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Corn Sweet- New Mama_Zea mays/Corn Sweet- New Mama_Zea mays_1.jpg; Corn Sweet- New Mama_Zea mays/Corn Sweet- New Mama_Zea mays_2.jpg; Corn Sweet- New Mama_Zea mays/Corn Sweet- New Mama_Zea mays_3.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
"Corn, Sweet- Polaris F1",Zea mays,vegetable,Bicoloured 'honey and cream' kernels; Sweet buttery flavour; Several cobs per plant,80-100 days,30cm,20mm,"Full sun, moist soil",Spring and early summer,5-14 days @ 16-35°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Sweet buttery flavour,"**Honey and Cream** is a super sweet corn with bicoloured 'honey and cream' kernels that grow on plants reaching 180-200cm in height. Each plant produces several 20cm long cobs, but it's not suitable for seed saving. The flavour is sweet and buttery, making it perfect for boiling, steaming, or grilling.",Culinary use,,Corn Sweet- Polaris F1_Zea mays/Corn Sweet- Polaris F1_Zea mays_1.jpg; Corn Sweet- Polaris F1_Zea mays/Corn Sweet- Polaris F1_Zea mays_2.jpg; Corn Sweet- Polaris F1_Zea mays/Corn Sweet- Polaris F1_Zea mays_3.jpg,"January, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
Cress- American Upland,Barbarea verna,vegetable,Biennial 25cm; Culinary herb; Pungent flavour,45 days,15cm,5mm,"Part or full sun, moist soil","Spring, summer and autumn",7-14 days @ 7-15°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Pungent flavour; Peppery flavour,"**Lovage** is a biennial herb that grows to 25cm, with young leaves that can be used in salads or as a garnish, while older leaves are great for cooking. It has a pungent flavour and self-seeds easily, making it simple to grow.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cress- American Upland_Barbarea verna/Cress- American Upland_Barbarea verna_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Cucamelon,Melothria scabra,vegetable,"Grape sized fruits; Also known as ""Mouse Melon"" or ""Mexican Sour Gherkin""; Includes: Alice Springs, Mildura, Albury-Wodonga, Shepparton, Wagga Wagga, Dubbo",100-150 days,60cm,5mm,"Full sun, moist well drained soil",Spring and summer,10-14 days @ 22-28°C,Sow direct or raise seedlings,Frost tender Perennial,Sweet flavour,"**Mouse Melon** (also known as ""Mexican Sour Gherkin"") is a vigorous climbing vine that produces small fruits similar to miniature watermelons, but with a grape-sized twist. The flavour is similar to cucumber with a tangy citrus note. Fruits are 2cm long and oval-shaped, semi-drought tolerant once established, and can be grown in pots.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Cucamelon_Melothria scabra/Cucamelon_Melothria scabra_1.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Armenian,Cucumis flexuosus,vegetable,"Summer salad vegetable; Grows as long as 90cm; Also known as ""Snake Cucumber"" or ""Yard Long Cucumber""",50-75 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,7-14 days @ 20-25°C,Sow direct or raise seedlings,Frost tender Annual,Sweet flavour,". **Snake Cucumber** (also known as Yard Long Cucumber) is a summer salad vegetable that produces long, pale green fruits with small seed cavities and mild flavour. The best part? It doesn't need peeling – simply eat the skin along with the flesh! Fruit grows up to 90cm but is best when picked at around 30cm. To achieve straight fruit, try growing it on a trellis; it's ideal for salads and produces heavy crops.",Beds; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Armenian_Cucumis flexuosus/Cucumber- Armenian_Cucumis flexuosus_1.jpg; Cucumber- Armenian_Cucumis flexuosus/Cucumber- Armenian_Cucumis flexuosus_2.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Burpless,Cucumis sativus,vegetable,"Vigorous variety; Mild-flavoured; Thin-skinned, sweet and bitter-less",65 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,"Mild-flavoured; Thin-skinned, sweet and bitter-less","**Burpless Cucumber**: This vigorous variety produces smooth, green fruits that grow up to 20-25cm long, with a mild flavor and less bitterness than traditional cucumbers. The thin skins make them perfect for slicing, salads, and sandwiches, while young fruits are ideal for pickling.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Burpless_Cucumis sativus/Cucumber- Burpless_Cucumis sativus_1.jpg; Cucumber- Burpless_Cucumis sativus/Cucumber- Burpless_Cucumis sativus_2.jpg; Cucumber- Burpless_Cucumis sativus/Cucumber- Burpless_Cucumis sativus_3.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Crystal Apple,Cucumis sativus,vegetable,Summer salad vegetable; 'Apple' shaped cucumber,60-70 days,40cm,10mm,"Full sun, moist well drained soil",Spring (or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,,"_Heirloom Cucumber_: A classic summer salad vegetable, this variety produces round, pale green fruits that resemble apples in shape (up to 10cm). Its prolific cropping and crunchy texture make it a favorite among gardeners.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Crystal Apple_Cucumis sativus/Cucumber- Crystal Apple_Cucumis sativus_1.jpg; Cucumber- Crystal Apple_Cucumis sativus/Cucumber- Crystal Apple_Cucumis sativus_2.jpg; Cucumber- Crystal Apple_Cucumis sativus/Cucumber- Crystal Apple_Cucumis sativus_3.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
